osm_id,code,fclass,name,Latitude,Longitude
5303104776,5601,railway_station,Kizhvelur,10° 45' 17.26"" N,079° 44' 37.38"" E
5303104780,5601,railway_station,Nagappattinam Junction,10° 45' 35.36"" N,079° 50' 44.21"" E
5303104782,5601,railway_station,Velippalaiyam,10° 46' 33.99"" N,079° 50' 38.22"" E
5303104783,5601,railway_station,Nagore,10° 49' 8.35"" N,079° 50' 45.65"" E
5303165642,5601,railway_station,Kandambakkam,11° 53' 54.02"" N,079° 27' 19.73"" E
5303165643,5601,railway_station,Tiruvennainallur Road,11° 50' 28.57"" N,079° 24' 46.99"" E
5303165644,5601,railway_station,Parikkal,11° 46' 32.73"" N,079° 22' 16.81"" E
5303165645,5601,railway_station,Ulundurpet,11° 42' 7.31"" N,079° 19' 5.44"" E
5303165652,5601,railway_station,Pavunur,11° 36' 3.25"" N,079° 18' 56.58"" E
5303165653,5601,railway_station,Vriddhachalam Town,11° 31' 11.97"" N,079° 18' 41.66"" E
5303165655,5601,railway_station,Talanallur,11° 28' 10.98"" N,079° 16' 9.61"" E
5303165673,5601,railway_station,Pennadam,11° 23' 54.38"" N,079° 13' 15.47"" E
5303165674,5601,railway_station,Ichchangadu,11° 22' 14.07"" N,079° 13' 9.75"" E
5303165678,5601,railway_station,Mathur,11° 19' 6.68"" N,079° 12' 22.19"" E
5303165679,5601,railway_station,Sendurai,11° 15' 19.01"" N,079° 10' 3.18"" E
5303839983,5601,railway_station,Ottakovil,11° 12' 58.83"" N,079° 06' 4.09"" E
5303839984,5601,railway_station,Ariyalur,11° 08' 56.06"" N,079° 04' 7.1"" E
5303839985,5601,railway_station,Sillakkudi,11° 05' 48.19"" N,079° 02' 14.02"" E
5303839986,5601,railway_station,Kallagam,11° 01' 30.65"" N,079° 00' 18.12"" E
5303839987,5601,railway_station,Kallakkudi Palanganatham,10° 57' 59.35"" N,078° 56' 58.93"" E
5303840006,5601,railway_station,Lalgudi,10° 52' 31.51"" N,078° 48' 55.17"" E
5303840008,5601,railway_station,Srirangam,10° 51' 27.73"" N,078° 41' 45.46"" E
5303840009,5601,railway_station,Tiruchchirappalli Town,10° 49' 45.5"" N,078° 42' 10.94"" E
5303863768,5601,railway_station,Tiruchchirapalli Fort,10° 49' 32.5"" N,078° 41' 20.58"" E
5303863787,5601,railway_station,Tiruchchirappalli Palakarai,10° 48' 28.19"" N,078° 41' 38.97"" E
5304625828,5601,railway_station,Kumaramangalam,10° 41' 47.9"" N,078° 43' 26.53"" E
5304625830,5601,railway_station,Keeranur,10° 34' 39.28"" N,078° 47' 8.75"" E
5304625840,5601,railway_station,Vellanur,10° 28' 3.72"" N,078° 47' 47.61"" E
5304625848,5601,railway_station,Pudukkotai,10° 22' 19.88"" N,078° 48' 7.14"" E
5305909268,5601,railway_station,Tirumayam,10° 14' 27.36"" N,078° 45' 31.67"" E
5305909272,5601,railway_station,Chettinad,10° 09' 35.67"" N,078° 46' 35.09"" E
5305909275,5601,railway_station,Devakottai Road,10° 02' 16.93"" N,078° 45' 44.0"" E
5305909277,5601,railway_station,Kallal,09° 58' 20.34"" N,078° 40' 3.58"" E
5305909282,5601,railway_station,Panangudi,09° 55' 16.97"" N,078° 36' 45.25"" E
5305909296,5601,railway_station,Sivaganga,09° 51' 18.86"" N,078° 30' 2.13"" E
5305909298,5601,railway_station,Melakkonnakkulam,09° 43' 56.41"" N,078° 27' 58.85"" E
5305909308,5601,railway_station,Manamadurai Junction,09° 40' 58.8"" N,078° 27' 13.77"" E
5305909311,5601,railway_station,Paramakkudi,09° 32' 22.06"" N,078° 35' 27.9"" E
5305909313,5601,railway_station,Sattirakkudi,09° 24' 3.5"" N,078° 42' 19.09"" E
